type_crypto,Date_orig,Daystarttoend,Open_ada,High_ada,Low_ada,Close_ada,Volume_ada,MarketCap_ada
ada,10/2/2017,1,0.0249695,0.0300877,0.0199693,0.025808402,83100299.97,567275650.8
ada,10/3/2017,2,0.025671136,0.027171562,0.020575495,0.020826864,29714843.5,678634914.2
ada,10/4/2017,3,0.020828005,0.022962098,0.020828005,0.021973245,12430134.1,569544386.4
ada,10/5/2017,4,0.022034681,0.022244946,0.02083943,0.021512368,7055959.738,554868595.8
ada,10/6/2017,5,0.02128574,0.021575767,0.018070841,0.018481458,6207887.324,521924570.1
ada,10/7/2017,6,0.018434248,0.021241867,0.017536537,0.020780847,7932154.153,502264616.6
ada,10/8/2017,7,0.020522602,0.023132328,0.020073838,0.020400874,7040565.673,564530630.4
ada,10/9/2017,8,0.020448115,0.022677377,0.020269936,0.022086171,6199154.983,558880606.4
ada,10/10/2017,9,0.022062491,0.02227002,0.020643499,0.021504705,3731444.89,566924595.5
ada,10/11/2017,10,0.021575979,0.022606052,0.021092543,0.022481946,3214229.452,563788101.5
ada,10/12/2017,11,0.022499305,0.026940024,0.021774506,0.026489934,5195256.102,615645855.8
ada,10/13/2017,12,0.026339529,0.034053988,0.024947429,0.033616608,11818035.26,725367949.1
ada,10/14/2017,13,0.033554376,0.037957798,0.029582375,0.031810871,28040339.16,873873851.3
ada,10/15/2017,14,0.032301234,0.033622196,0.028738986,0.029941374,13124020.65,825523805.5
ada,10/16/2017,15,0.029948697,0.03065937,0.028425756,0.028579797,6067590.542,760289326.1
ada,10/17/2017,16,0.02870894,0.029288577,0.024824288,0.027374196,7062988.531,703642472.6
ada,10/18/2017,17,0.027275186,0.02748554,0.024564588,0.026707198,3949209.175,670159418.8
ada,10/19/2017,18,0.026675343,0.026925101,0.025732604,0.026861991,2353495.605,683944828.1
ada,10/20/2017,19,0.026863721,0.030821254,0.026526675,0.030604809,6245007.725,742991029.7
ada,10/21/2017,20,0.030486917,0.030873409,0.028116746,0.028547658,7191765.259,764927419.7
ada,10/22/2017,21,0.028547474,0.028784668,0.027101388,0.027927592,3509341.614,723008280.7
ada,10/23/2017,22,0.027839064,0.028215838,0.024394275,0.025933067,2959447.922,678723718.5
ada,10/24/2017,23,0.025676194,0.029090866,0.024114368,0.027303028,7692666.114,707554375.1
ada,10/25/2017,24,0.027079975,0.027868697,0.02612358,0.027481451,3596489.556,696198561.3
ada,10/26/2017,25,0.027343734,0.027484613,0.026423072,0.027192794,2307319.91,697834147.8
ada,10/27/2017,26,0.02719527,0.027344789,0.025708023,0.026331146,2527814.261,684335402.5
ada,10/28/2017,27,0.026432045,0.026817095,0.025553467,0.025976634,2072031.16,673521780.9
ada,10/29/2017,28,0.025984855,0.029387056,0.025779211,0.028397245,3060250.165,704079948.9
ada,10/30/2017,29,0.028293151,0.028732328,0.027373828,0.028343225,4470266.858,726350984.5
ada,10/31/2017,30,0.028313216,0.030557553,0.027892917,0.030536733,5367288.635,763299486.8
ada,11/1/2017,31,0.030430445,0.030430445,0.023300573,0.023359048,8574030.716,647943889.3
ada,11/2/2017,32,0.023105191,0.025136484,0.01840782,0.021463315,6527969.86,592960042.1
ada,11/3/2017,33,0.021398926,0.023210861,0.019944871,0.022774749,4234884.296,564314971
ada,11/4/2017,34,0.022784191,0.023834573,0.021880317,0.022038086,2684275.477,590366820.7
